id	filename	md5	size	state
0d82cb5e-2e4e-4879-9b7e-b929fb590c0a	0d82cb5e-2e4e-4879-9b7e-b929fb590c0a/b556f213-9004-45b1-ab97-09cbac4406c4.rna_seq.augmented_star_gene_counts.tsv	ed31e4da1365d21a4ea79e3be73d1d88	4237706	validated
0d880932-47ab-4b88-b00e-6921d2be5936	0d880932-47ab-4b88-b00e-6921d2be5936/5a2fb8ba-a509-4216-83b5-174c1ee94c17.rna_seq.augmented_star_gene_counts.tsv	51e51688e1a5b75954b4e8656b1f2f6a	4225900	validated
0da1dde2-3a7d-43a1-81a4-0c9b12efcfa9	0da1dde2-3a7d-43a1-81a4-0c9b12efcfa9/c106d702-1803-4226-a120-f43bc28ae11c.rna_seq.augmented_star_gene_counts.tsv	35b24dfc5b14aeddfa3667e3b5dcaf08	4247173	validated
0dfece20-8425-42b1-a50a-fcf81f997351	0dfece20-8425-42b1-a50a-fcf81f997351/7164752e-f3af-4ff9-aa7b-a96dc10f58ab.rna_seq.augmented_star_gene_counts.tsv	158624e266488b3478b28970ba887192	4242805	validated
0e274ebf-c78b-4a23-b85f-835674f62a0a	0e274ebf-c78b-4a23-b85f-835674f62a0a/d9548857-ab3c-4cf6-8608-4d5951f63c8b.rna_seq.augmented_star_gene_counts.tsv	5dc00397253143ba1b86ccadd5358d9a	4249088	validated
0f5edda3-5b39-48be-a2c7-6c495b49c249	0f5edda3-5b39-48be-a2c7-6c495b49c249/c5181f1f-9968-47c1-a2ae-77c3f83e21bd.rna_seq.augmented_star_gene_counts.tsv	95dbaf7fb27cdc32ee7540efbe66f0b7	4228792	validated
1032db62-edd9-4532-ab62-af652f39f0dd	1032db62-edd9-4532-ab62-af652f39f0dd/155b64a3-9f0a-4f56-970b-d389caea4af3.rna_seq.augmented_star_gene_counts.tsv	ab50ebf5227db12e69e33bda9d0c6295	4222362	validated
1261fa8c-a831-4f06-aca6-9cb96625a32b	1261fa8c-a831-4f06-aca6-9cb96625a32b/026ed595-4218-4379-8e2d-54b390cb2544.rna_seq.augmented_star_gene_counts.tsv	94cc47e78711654375e9d0ebe923bcf7	4238283	validated
145dabfe-a6df-4c9d-a7ac-937e0f9af003	145dabfe-a6df-4c9d-a7ac-937e0f9af003/1652c5be-f06b-4600-a1e9-3efbfa73eb4e.rna_seq.augmented_star_gene_counts.tsv	5dc3dcf1a5c58a762e07cfe8c9645846	4247349	validated
14aff5e3-5f0c-4e7c-abec-806009b5a39a	14aff5e3-5f0c-4e7c-abec-806009b5a39a/23f3b0c8-dc66-445e-9d05-bd631e00f2ee.rna_seq.augmented_star_gene_counts.tsv	cc54289a3662db2b894676dadf16692e	4245011	validated
14e6f46e-a34a-41c6-bd22-1f46fd76836b	14e6f46e-a34a-41c6-bd22-1f46fd76836b/3b6125da-8c27-4889-a5d1-4bdc697f2a72.rna_seq.augmented_star_gene_counts.tsv	9fd9ce9b7189c38f76ad6904b4589ded	4230828	validated
155e74da-ebd4-4f87-ac74-7bf9fd74644f	155e74da-ebd4-4f87-ac74-7bf9fd74644f/6b59c7e7-11f7-4326-a849-2e1a6bb9f3e7.rna_seq.augmented_star_gene_counts.tsv	76027c0be233e1f659eb459699238b58	4218805	validated
168d5c05-89b0-4c26-95a1-dd2d34d16882	168d5c05-89b0-4c26-95a1-dd2d34d16882/141d1d6b-251b-48cf-abfd-bdbfdd0605b7.rna_seq.augmented_star_gene_counts.tsv	e2509bf8e16dc496c87da138a54a4de1	4231291	validated
16b32013-0291-458e-b637-f73ccbaee84f	16b32013-0291-458e-b637-f73ccbaee84f/ee1a4754-896c-4f5d-bd4a-a7754f84abad.rna_seq.augmented_star_gene_counts.tsv	58516b5443c43a20971dcdf7de2ac593	4239507	validated
170ed38a-fdce-4c28-a8ed-982d6a21add0	170ed38a-fdce-4c28-a8ed-982d6a21add0/9e09a872-f5f7-4cc1-bb08-07045fcd0c28.rna_seq.augmented_star_gene_counts.tsv	18ee4bf70706f2d05da06c5321d58321	4241393	validated
179e130e-fe52-473e-8a5f-35d230458e69	179e130e-fe52-473e-8a5f-35d230458e69/af0700ee-8602-4f6c-b104-dd4d19da99a8.rna_seq.augmented_star_gene_counts.tsv	8c71bc530050aaf88bbe65b8e7f85d91	4218176	validated
1a23f004-dde1-4a0e-8991-0686182e92a5	1a23f004-dde1-4a0e-8991-0686182e92a5/17eedf5a-cad4-460d-bf28-9539ed131e5a.rna_seq.augmented_star_gene_counts.tsv	b47762e8524c4847b5a61db16ddc01b2	4248827	validated
1b8cc228-a020-4418-be03-ad409d781728	1b8cc228-a020-4418-be03-ad409d781728/aab4bee0-b7a4-4671-b7e3-e11f11abe0e7.rna_seq.augmented_star_gene_counts.tsv	cb1073b7a04d071ead4d9a2debd7d6f0	4220583	validated
1bc3c302-0e49-4944-b3ce-7d6e6f846493	1bc3c302-0e49-4944-b3ce-7d6e6f846493/45ab4192-f1bb-46cd-8e85-c2341d67642f.rna_seq.augmented_star_gene_counts.tsv	1b3f92d08fdf964a3dd809d3f78a5660	4245339	validated
1c091fe9-f2ca-478c-95be-b924f30c4c75	1c091fe9-f2ca-478c-95be-b924f30c4c75/c93e41f3-3a23-4757-af8c-af11fab60b52.rna_seq.augmented_star_gene_counts.tsv	9da5238b44820b332748f722fbb6e3c7	4240135	validated
1c98c99d-80ae-4fcc-9197-d1a2b7d8ac96	1c98c99d-80ae-4fcc-9197-d1a2b7d8ac96/0de1e059-6f06-44a0-abd3-c42cf2326898.rna_seq.augmented_star_gene_counts.tsv	1c1b569b5277b174fecbc52dc472707a	4247641	validated
1e659c79-eb29-4be8-b279-9a825f2cd157	1e659c79-eb29-4be8-b279-9a825f2cd157/c7648754-3563-4d93-8107-d64def41fd4b.rna_seq.augmented_star_gene_counts.tsv	a103eb239fdd65d6164806a28bd198ec	4250785	validated
1eb6f6ba-c24e-45ba-aa85-e6ad04484c7a	1eb6f6ba-c24e-45ba-aa85-e6ad04484c7a/6a87346a-157b-467c-be80-572ab377080c.rna_seq.augmented_star_gene_counts.tsv	23cc2e74ac59ef9a105a323bad4dd5b7	4234858	validated
1f3b0d72-84cb-44ba-801b-a8d58baf2849	1f3b0d72-84cb-44ba-801b-a8d58baf2849/87ee4cad-86d3-4b6b-952d-d565247b9a1e.rna_seq.augmented_star_gene_counts.tsv	927bf2f86df5522dc5980e0101243c53	4242588	validated
